LAST,FIRST,LEAGUE,TEAM,POSITION,1PG,2PG,SHOTS,ES%
Kevin,Fox,MLL,Atlas,Long Stick Midfield,0,0,0,0
Tanner,Thomson,MLL,Atlas,Midfield,0,0,2,0.0
Jake,Withers,MLL,Cannons,Midfield,0,0,0,0
James,Leary,MLL,Cannons,Defense,0,0,2,0.0
Martin,Bowes,MLL,Cannons,Midfield,0,0,0,0
Nick,Marrocco,MLL,Cannons,Goalie,0,0,0,0
PT,Ricci,MLL,Cannons,Defense,0,0,0,0
Scott,Hooper,MLL,Cannons,Defense,0,0,0,0
Charlie,Ford,MLL,Cannons,Defense,0,0,0,0
Dom,Madonna,MLL,Cannons,Goalie,0,0,0,0
Nate,Farrell,MLL,Cannons,Midfield,0,0,2,0.0
Bill,O'Brien,MLL,Cannons,Defense,0,0,0,0
Tate,Boyce,MLL,Cannons,Goalie,0,0,0,0
Justin,Pugal,MLL,Cannons,Defense,0,0,4,0.0
Mikey,Herring,MLL,Cannons,Attack,0,0,0,0
Brian,Phipps,MLL,Bayhawks,Goalie,0,0,1,0.0
Chris,Fennell,MLL,Bayhawks,Defense,0,0,3,0.0
DJ,Plumer,MLL,Bayhawks,Midfield,0,0,1,0.0
Eric,O'Brien,MLL,Bayhawks,Midfield,0,0,1,0.0
Greg,Danseglio,MLL,Bayhawks,Defense,0,0,3,0.0
Jon,Garino,MLL,Bayhawks,Midfield,0,0,0,0
Kevin,Massa,MLL,Bayhawks,Midfield,0,0,0,0
Mike,Unterstein,MLL,Bayhawks,Midfield,0,0,2,0.0
Nick,Manis,MLL,Bayhawks,Midfield,0,0,3,0.0
Niko,Amato,MLL,Bayhawks,Goalie,0,0,0,0
Sean,Mayle,MLL,Bayhawks,Long Stick Midfield,0,0,5,0.0
Tyler,Barbarich,MLL,Bayhawks,Midfield,0,0,0,0
Jack,Doyle,MLL,Bayhawks,Midfield,0,0,0,0
Ryan,Hursey,MLL,Bayhawks,Midfield,0,0,0,0
Kyle,Tucker,MLL,Bayhawks,Defense,0,0,0,0
Thomas,Hoggarth,MLL,Bayhawks,Midfield,0,0,0,0
Warren,Jeffrey,MLL,Bayhawks,Defense,0,0,0,0
Zac,Prattson,MLL,Bayhawks,Defense,0,0,1,0.0
Casey,Dowd,MLL,Rattlers,Midfield,0,0,0,0
Greg,Weyl,MLL,Rattlers,Defense,0,0,4,0.0
Jake,Pulver,MLL,Rattlers,Defense,0,0,3,0.0
Kristian,Alleyne,MLL,Rattlers,Goalie,0,0,0,0
Christian,Carson-Banister,MLL,Rattlers,Goalie,0,0,1,0.0
Chris,Keating,MLL,Rattlers,Defense,0,0,0,0
Nick,Steinfeld,MLL,Rattlers,Midfield,0,0,1,0.0
Craig,Chick,MLL,Rattlers,Defense,0,0,1,0.0
Landon,Kramer,MLL,Rattlers,Defense,0,0,0,0
Sean,Sconone,MLL,Rattlers,Goalie,0,0,0,0
Christian,Knight,MLL,Outlaws,Goalie,0,0,0,0
Dillon,Ward,MLL,Outlaws,Goalie,0,0,1,0.0
Eli,Gobrecht,MLL,Outlaws,Defense,0,0,0,0
Finn,Sullivan,MLL,Outlaws,Defense,0,0,4,0.0
Henry,Schoonmaker,MLL,Outlaws,Midfield,0,0,1,0.0
Graham,Bocklet,MLL,Outlaws,Long Stick Midfield,0,0,0,0
Kaisuke,Iwamoto,MLL,Outlaws,Goalie,0,0,0,0
Michael,Rexrode,MLL,Outlaws,Defense,0,0,1,0.0
Zachary,Melillo,MLL,Outlaws,Midfield,0,0,0,0
Stanny,Gilbertson,MLL,Outlaws,Midfield,0,0,2,0.0
Alex,Spring,MLL,Lizards,Long Stick Midfield,0,0,1,0.0
Brian,vonBargen,MLL,Lizards,Midfield,0,0,6,0.0
Jack,Carrigan,MLL,Lizards,Defense,0,0,0,0
