DATE,HOME,AWAY,LEAGUE,SEASON,HOMEGOALS,HOME1PG,HOME2PG,HOMESHOTS,HOMESh%,HomeSh%D,HOMEES%,HomeES%D,AwayGoals,AWAY1PG,AWAY2PG,AWAYSHOTS,AWAYSh%,AwaySh%D,AwayES%,AwayES%D,ABS(ES%D),URL: 
7/12/2019,WHIPSNAKES,REDWOODS,PLL,PLL 2019,11,9,1,50,0.2,-0.126,0.22,-0.106,14,14,0,43,0.326,0.126,0.326,0.106,0.11,https://dn0a11v09sa0t.cloudfront.net/BoxScores/PLL_RED_WHP_20190629_1.json
7/12/2019,CHROME,CHAOS,PLL,PLL 2019,14,14,0,47,0.298,-0.02,0.298,-0.043,15,13,1,44,0.318,0.02,0.341,0.043,0.04,https://dn0a11v09sa0t.cloudfront.net/BoxScores/PLL_CHA_CHR_20190629_1.json
7/5/2019,ARCHERS,ATLAS,PLL,PLL 2019,12,10,1,33,0.333,-0.009,0.364,0.022,13,13,0,38,0.342,0.009,0.342,-0.022,0.02,https://dn0a11v09sa0t.cloudfront.net/BoxScores/PLL_ATL_ARC_20190628_1.json
7/5/2019,CHAOS,ARCHERS,PLL,PLL 2019,14,10,2,37,0.324,0.063,0.378,0.095,13,11,1,46,0.261,-0.063,0.283,-0.095,0.1,https://dn0a11v09sa0t.cloudfront.net/BoxScores/PLL_ARC_CHA_20190623_1.json
7/5/2019,ATLAS,WHIPSNAKES,PLL,PLL 2019,10,8,1,37,0.243,0.012,0.27,-0.018,15,9,3,52,0.231,-0.012,0.288,0.018,0.02,https://dn0a11v09sa0t.cloudfront.net/BoxScores/PLL_WHP_ATL_20190622_1.json
7/5/2019,REDWOODS,CHROME,PLL,PLL 2019,13,13,0,44,0.295,0.064,0.295,0.013,11,7,2,39,0.231,-0.064,0.282,-0.013,0.01,https://dn0a11v09sa0t.cloudfront.net/BoxScores/PLL_CHR_RED_20190622_1.json
7/12/2019,ATLAS,CHROME,PLL,PLL 2019,13,11,1,34,0.353,0.103,0.382,0.082,12,8,2,40,0.25,-0.103,0.3,-0.082,0.08,https://dn0a11v09sa0t.cloudfront.net/BoxScores/PLL_CHR_ATL_20190616_1.json
7/5/2019,WHIPSNAKES,ARCHERS,PLL,PLL 2019,11,7,2,34,0.265,0.048,0.324,0.107,10,10,0,46,0.217,-0.048,0.217,-0.107,0.11,https://dn0a11v09sa0t.cloudfront.net/BoxScores/PLL_ARC_WHP_20190615_1.json
7/24/2019,REDWOODS,CHAOS,PLL,PLL 2019,11,9,1,48,0.208,-0.236,0.229,-0.215,12,12,0,27,0.444,0.236,0.444,0.215,0.21,https://dn0a11v09sa0t.cloudfront.net/BoxScores/PLL_CHA_RED_20190615_1.json
7/12/2019,ATLAS,CHAOS,PLL,PLL 2019,13,11,1,41,0.293,-0.064,0.317,-0.112,18,12,3,42,0.357,0.064,0.429,0.112,0.11,https://dn0a11v09sa0t.cloudfront.net/BoxScores/PLL_CHA_ATL_20190609_1.json
7/12/2019,ARCHERS,REDWOODS,PLL,PLL 2019,10,10,0,36,0.278,0.047,0.278,0.047,9,9,0,39,0.231,-0.047,0.231,-0.047,0.05,https://dn0a11v09sa0t.cloudfront.net/BoxScores/PLL_RED_ARC_20190608_1.json
7/5/2019,CHROME,WHIPSNAKES,PLL,PLL 2019,11,9,1,43,0.233,-0.001,0.256,0.001,12,10,1,47,0.234,0.001,0.255,-0.001,0.0,https://dn0a11v09sa0t.cloudfront.net/BoxScores/PLL_WHP_CHR_20190608_1.json
7/12/2019,ATLAS,REDWOODS,PLL,PLL 2019,9,9,0,41,0.22,0.024,0.22,0.024,11,11,0,56,0.196,-0.024,0.196,-0.024,0.02,https://dn0a11v09sa0t.cloudfront.net/BoxScores/PLL_RED_ATL_20190602_1.json
7/12/2019,WHIPSNAKES,CHAOS,PLL,PLL 2019,15,15,0,55,0.273,-0.098,0.273,-0.127,14,12,1,35,0.371,0.098,0.4,0.127,0.13,https://dn0a11v09sa0t.cloudfront.net/BoxScores/PLL_CHA_WHP_20190601_1.json
7/5/2019,ARCHERS,CHROME,PLL,PLL 2019,13,11,1,36,0.333,0.066,0.361,0.094,12,12,0,45,0.267,-0.066,0.267,-0.094,0.09,https://dn0a11v09sa0t.cloudfront.net/BoxScores/PLL_CHR_ARC_20190601_1.json
